"polarity","magnitude","text_id"
-0.7,1.3,254
0.4,0.5,255
-1,1.7,256
-1,3.5,257
-1,0.2,258
-1,0.9,259
-1,1.6,260
-0.6,3.6,261
-1,1.1,262
-1,0.9,263
-1,1.7,264
1,0.2,265
-0.2,2.3,266
-1,0.2,267
-1,0.7,268
-1,0.9,269
1,0.6,270
-0.6,3.4,271
0.1,2.6,272
0.2,3.8,273
0.2,2.3,274
-0.4,0.3,275
0.1,1.9,276
-1,1.2,277
-1,2.1,278
-1,0.1,279
-0.3,1.7,280
-1,1,281
-1,0,282
-1,0,283
-1,0.5,284
0.1,2.9,285
0,1.6,286
-1,2,287
-1,1.2,288
-0.5,1.9,289
-0.1,4.5,290
1,0.2,291
-1,1.6,292
-1,0.9,293
1,0.2,294
0.3,2.4,295
-0.1,1.8,296
-1,1,297
-1,0.1,298
-1,0.2,299
-1,0.7,300
1,0.2,301
-1,0.4,302
1,0.7,303
-0.2,1.3,304
-1,0.2,305
1,0.3,306
0.1,2.4,307
1,0,308
0.6,1.4,309
-1,2.4,310
0.2,2,311
-1,3,312
0.4,2.2,313
1,0,314
1,0,315
-0.5,1.5,316
1,0,317
-0.5,0.5,318
0.2,1.7,319
-0.4,3.5,320
-0.5,1.9,321
-1,1.8,322
1,1.2,323
0.7,1.1,324
-1,0.2,325
1,0.6,326
1,0,327
-1,0.9,328
-0.8,1.9,329
-1,1.8,330
-0.6,3.4,331
0.8,0.9,332
-1,0,333
-0.4,5.6,334
-1,2.5,335
-0.3,2.6,336
-0.9,1.8,337
-0.9,0.9,338
0.6,5.7,339
-0.1,1.6,340
-1,0.7,341
-1,1.2,342
-0.8,1,343
-0.2,2.3,344
-0.3,1.6,345
-0.9,2,346
-1,0.9,347
-0.4,1.3,348
-1,1.7,349
0.3,1.2,350
-0.7,0.9,351
-0.2,0.8,352
-1,4.1,353
-1,0.7,354
1,2.3,355
-1,0.7,356
0.9,0.6,357
-0.3,3.9,358
1,1.2,359
-1,0.2,360
-0.8,1.3,361
1,0.3,362
-0.1,1.6,363
1,0.8,364
0,1.6,365
-0.2,0.3,366
-1,0.7,367
-0.3,1.3,368
-0.7,2.7,369
-1,0.8,370
-1,0.2,371
-1,1.4,372
-1,0.9,373
1,0.4,374
-1,1.8,375
1,0.3,376
-1,0.8,377
-1,0.8,378
-0.6,1.4,379
0.4,3.1,380
0,1.8,381
-0.1,1.6,382
-0.8,1.1,383
-1,0,384
1,0.3,385
-1,0.7,386
-1,2.5,387
-1,2.2,388
0.1,2.5,389
-1,1.8,390
-1,0.5,391
1,0.6,392
-0.6,0.9,393
-0.1,3.8,394
-1,0.5,395
-0.9,2.8,396
1,0.3,397
-1,0.5,398
1,0,399
-0.8,4.5,400
-1,0.8,401
-1,0.7,402
1,0.1,403
-1,0.1,404
-1,0.2,405
-1,0.5,406
-1,0.7,407
0.5,0.3,408
-1,0.6,409
-1,0.7,410
-1,0.7,411
-0.6,3.1,412
-1,0.6,413
-0.8,1.7,414
-0.9,1.7,415
-0.3,4.1,416
1,0.2,417
-1,1.7,418
-1,0.9,419
-0.3,0.7,420
-0.9,1.3,421
-1,0.2,422
-1,1.4,423
-1,0.2,424
1,0,425
-1,1.4,426
-0.8,1.2,427
-1,1.6,428
0.7,0.2,429
-0.9,1.4,430
-1,0.4,431
-1,1.8,432
-1,0.8,433
0,1.8,434
-1,0.9,435
1,0.3,436
-1,0.7,437
-0.8,1.8,438
1,0.3,439
1,1,440
-0.4,2.9,441
-0.6,5,442
-1,0,443
0.1,0.6,444
1,0.2,445
1,0.4,446
-1,1.6,447
-0.1,2.1,448
-0.8,1.9,449
-0.5,3.6,450
-0.7,1.1,451
-1,0.9,452
-0.4,4.3,453
-1,2.6,454
-1,0.9,455
-0.6,1.2,456
-0.5,0.6,457
-0.4,0.8,458
0.3,2.4,459
1,1.1,460
-0.5,2.8,461
0,2.3,462
-1,0,463
-1,0.6,464
1,0.1,465
-1,0.9,466
1,0.4,467
0,1.2,468
1,1,469
-1,0,470
-1,2.6,471
1,0,472
-1,0.9,473
1,0.1,474
-0.1,4.4,475
-0.4,2.9,476
-1,3.5,477
-1,0.7,478
-0.7,1.6,479
-0.8,2.2,480
-1,0.4,481
1,0,482
-0.8,1.8,483
-0.8,2.1,484
-1,0,485
1,1,486
1,0.6,487
-1,1.5,488
-1,0.4,489
-1,0.9,490
-1,0.3,491
-0.3,2.5,492
-1,1.5,493
1,0.1,494
-1,0.7,495
1,0,496
-1,0.5,497
-1,0.1,498
0.6,0.7,499
-1,0.3,500
-1,1.6,501
0.2,0.2,502
-1,0.2,503
-0.9,4.6,504
-1,1.6,505
-1,1.4,506
-1,0.2,507
-0.9,0.9,508
-1,1.7,509
1,1.7,510
0,1.7,511
-1,0.8,512
-0.2,2.1,513
-1,3.3,514
1,0.6,515
0.4,2,516
-0.2,1.2,517
1,0.7,518
0.9,1.8,519
