"text.content","text.beginOffset","text_id"
"So let's have paid family leave, earned sick days.",-1,16
"Let's be sure we have affordable child care and debt-free college.",-1,16
"How are we going to do it?",-1,17
"We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.",-1,17
"Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you.",-1,18
"We're going to have a debate where we are talking about the important issues facing our country.",-1,18
"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.",-1,18
"I hope that I will be able to earn your vote on November 8th.",-1,18
"Secretary Clinton, thank you.",-1,19
"Mr. Trump, the same question to you.",-1,20
"It's about putting money — more money into the pockets of American workers.",-1,20
"You have up to two minutes.",-1,20
"Thank you, Lester.",-1,21
"Our jobs are fleeing the country.",-1,21
"They're going to Mexico.",-1,21
"They're going to many other countries.",-1,21
"You look at what China is doing to our country in terms of making our product.",-1,21
"They're devaluing their currency, and there's nobody in our government to fight them.",-1,21
"And we have a very good fight.",-1,21
"And we have a winning fight.",-1,21
"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.",-1,21
"So we're losing our good jobs, so many of them.",-1,22
"When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.",-1,22
"They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants.",-1,22
"With the United States, as he said, not so much.",-1,22
"So Ford is leaving.",-1,23
"You see that, their small car division leaving.",-1,23
"Thousands of jobs leaving Michigan, leaving Ohio.",-1,23
"They're all leaving.",-1,23
"And we can't allow it to happen anymore.",-1,23
"As far as child care is concerned and so many other things, I think Hillary and I agree on that.",-1,24
"We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.",-1,24
"But we have to stop our jobs from being stolen from us.",-1,25
"We have to stop our companies from leaving the United States and, with it, firing all of their people.",-1,25
"All you have to do is take a look at Carrier air conditioning in Indianapolis.",-1,25
"They left — fired 1,400 people.",-1,25
"They're going to Mexico.",-1,25
"So many hundreds and hundreds of companies are doing this.",-1,25
"We cannot let it happen.",-1,26
"Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses.",-1,26
"That's going to be a job creator like we haven't seen since Ronald Reagan.",-1,26
"It's going to be a beautiful thing to watch.",-1,26
"Companies will come.",-1,27
"They will build.",-1,27
"They will expand.",-1,27
"New companies will start.",-1,27
"And I look very, very much forward to doing it.",-1,27
"We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.",-1,27
"Secretary Clinton, would you like to respond?",-1,28
"Well, I think that trade is an important issue.",-1,29
"Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.",-1,29
"And we need to have smart, fair trade deals.",-1,29
"We also, though, need to have a tax system that rewards work and not just financial transactions.",-1,30
"And the kind of plan that Donald has put forth would be trickle-down economics all over again.",-1,30
"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.",-1,30
"I call it trumped-up trickle-down, because that's exactly what it would be.",-1,31
"That is not how we grow the economy.",-1,31
"We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.",-1,32
"I think we come at it from somewhat different perspectives.",-1,33
"I understand that.",-1,33
"You know, Donald was very fortunate in his life, and that's all to his benefit.",-1,33
"He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.",-1,33
"I don't buy that.",-1,34
"I have a different experience.",-1,34
"My father was a small-businessman.",-1,34
"He worked really hard.",-1,34
"He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going.",-1,34
"And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow.",-1,35
"That's the kind of economy I want us to see again.",-1,35
"Let me follow up with Mr. Trump, if you can.",-1,36
"You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans.",-1,36
"How are you going to bring back the industries that have left this country for cheaper labor overseas?",-1,37
"How, specifically, are you going to tell American manufacturers that you have to come back?",-1,37
"Well, for one thing — and before we start on that — my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs.",-1,38
"Our country's in deep trouble.",-1,39
"We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China.",-1,39
"They're the best, the best ever at it.",-1,39
"What they're doing to us is a very, very sad thing.",-1,39
"So we have to do that.",-1,40
"We have to renegotiate our trade deals.",-1,40
"And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do.",-1,40
"Let me give you the example of Mexico.",-1,41
"They have a VAT tax.",-1,41
"We're on a different system.",-1,41
"When we sell into Mexico, there's a tax.",-1,41
"When they sell in — automatic, 16 percent, approximately.",-1,41
"When they sell into us, there's no tax.",-1,41
"It's a defective agreement.",-1,41
"It's been defective for a long time, many years, but the politicians haven't done anything about it.",-1,41
"Now, in all fairness to Secretary Clinton — yes, is that OK?",-1,42
"Good.",-1,42
"I want you to be very happy.",-1,42
"It's very important to me.",-1,42
"But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently.",-1,43
"She's been doing this for 30 years.",-1,43
"And why hasn't she made the agreements better?",-1,43
"The NAFTA agreement is defective.",-1,43
"Just because of the tax and many other reasons, but just because of the fact...",-1,43
"Let me interrupt just a moment, but...",-1,44
"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement.",-1,45
"They should have been doing this for years.",-1,45
"What's happened to our jobs and our country and our economy generally is — look, we owe $20 trillion.",-1,45
"We cannot do it any longer, Lester.",-1,45
"Back to the question, though.",-1,46
"How do you bring back — specifically bring back jobs, American manufacturers?",-1,46
"How do you make them bring the jobs back?",-1,46
"Well, the first thing you do is don't let the jobs leave.",-1,47
"The companies are leaving.",-1,47
"I could name, I mean, there are thousands of them.",-1,47
"They're leaving, and they're leaving in bigger numbers than ever.",-1,47
"And what you do is you say, fine, you want to go to Mexico or some other country, good luck.",-1,48
"We wish you a lot of luck.",-1,48
"But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong.",-1,48
"And once you say you're going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies.",-1,49
"So what I'm saying is, we can stop them from leaving.",-1,49
"We have to stop them from leaving.",-1,49
"And that's a big, big factor.",-1,49
"Let me let Secretary Clinton get in here.",-1,50
"Well, let's stop for a second and remember where we were eight years ago.",-1,51
"We had the worst financial crisis, the Great Recession, the worst since the 1930s.",-1,51
"That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.",-1,51
"In fact, Donald was one of the people who rooted for the housing crisis.",-1,52
"He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money.""",-1,52
"Well, it did collapse.",-1,52
"That's called business, by the way.",-1,53
"Nine million people — nine million people lost their jobs.",-1,54
"Five million people lost their homes.",-1,54
"And $13 trillion in family wealth was wiped out.",-1,54
"Now, we have come back from that abyss.",-1,55
"And it has not been easy.",-1,55
"So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",-1,55
"Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.",-1,56
"They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy.",-1,57
"Take clean energy.",-1,57
"Some country is going to be the clean- energy superpower of the 21st century.",-1,57
"Donald thinks that climate change is a hoax perpetrated by the Chinese.",-1,57
"I think it's real.",-1,57
"I did not.",-1,58
"I did not.",-1,58
"I do not say that.",-1,58
"I think science is real.",-1,59
"I do not say that.",-1,60
"And I think it's important that we grip this and deal with it, both at home and abroad.",-1,61
"And here's what we can do.",-1,61
"We can deploy a half a billion more solar panels.",-1,61
"We can have enough clean energy to power every home.",-1,61
"We can build a new modern electric grid.",-1,61
"That's a lot of jobs; that's a lot of new economic activity.",-1,61
"So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place.",-1,62
"Mr. Trump?",-1,63
"She talks about solar panels.",-1,64
"We invested in a solar company, our country.",-1,64
"That was a disaster.",-1,64
"They lost plenty of money on that one.",-1,64
"Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work.",-1,65
"Our energy policies are a disaster.",-1,65
"Our country is losing so much in terms of energy, in terms of paying off our debt.",-1,65
"You can't do what you're looking to do with $20 trillion in debt.",-1,65
"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.",-1,66
"He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.",-1,66
"So I will tell you this.",-1,67
"We have to do a much better job at keeping our jobs.",-1,67
"And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it.",-1,67
"And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone.",-1,68
"And, Hillary, I'd just ask you this.",-1,69
"You've been doing this for 30 years.",-1,69
"Why are you just thinking about these solutions right now?",-1,69
"For 30 years, you've been doing it, and now you're just starting to think of solutions.",-1,69
"Well, actually...",-1,70
"I will bring — excuse me.",-1,71
"I will bring back jobs.",-1,71
"You can't bring back jobs.",-1,71
"Well, actually, I have thought about this quite a bit.",-1,72
"Yeah, for 30 years.",-1,73
"And I have — well, not quite that long.",-1,74
"I think my husband did a pretty good job in the 1990s.",-1,74
"I think a lot about what worked and how we can make it work again...",-1,74
"Well, he approved NAFTA...",-1,75
"... million new jobs, a balanced budget...",-1,76
"He approved NAFTA, which is the single worst trade deal ever approved in this country.",-1,77
"Incomes went up for everybody.",-1,78
"Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts.",-1,78
"When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test.",-1,79
"Will they create jobs in America?",-1,79
"Will they raise incomes in America?",-1,79
"And are they good for our national security?",-1,79
"Some of them I voted for.",-1,79
"The biggest one, a multinational one known as CAFTA, I voted against.",-1,79
"And because I hold the same standards as I look at all of these trade deals.",-1,79
"But let's not assume that trade is the only challenge we have in the economy.",-1,80
"I think it is a part of it, and I've said what I'm going to do.",-1,80
"I'm going to have a special prosecutor.",-1,80
"We're going to enforce the trade deals we have, and we're going to hold people accountable.",-1,80
"When I was secretary of state, we actually increased American exports globally 30 percent.",-1,81
"We increased them to China 50 percent.",-1,81
"So I know how to really work to get new jobs and to get exports that helped to create more new jobs.",-1,81
"Very quickly...",-1,82
"But you haven't done it in 30 years or 26 years or any number you want to...",-1,83
"Well, I've been a senator, Donald...",-1,84
"You haven't done it.",-1,85
"You haven't done it.",-1,85
"And I have been a secretary of state...",-1,86
"Excuse me.",-1,87
"And I have done a lot...",-1,88
"Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.",-1,89
"Well, that's your opinion.",-1,90
"That is your opinion.",-1,90
"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.",-1,91
"NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country.",-1,91
"And now you want to approve Trans-Pacific Partnership.",-1,92
"You were totally in favor of it.",-1,92
"Then you heard what I was saying, how bad it is, and you said, I can't win that debate.",-1,92
"But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA.",-1,92
"Nothing will ever top NAFTA.",-1,92
"Well, that is just not accurate.",-1,93
"I was against it once it was finally negotiated and the terms were laid out.",-1,93
"I wrote about that in...",-1,93
"You called it the gold standard.",-1,94
"You called it the gold standard of trade deals.",-1,95
"You said it's the finest deal you've ever seen.",-1,95
"No.",-1,96
"And then you heard what I said about it, and all of a sudden you were against it.",-1,97
"Well, Donald, I know you live in your own reality, but that is not the facts.",-1,98
"The facts are — I did say I hoped it would be a good deal, but when it was negotiated...",-1,98
"Not.",-1,99
"... which I was not responsible for, I concluded it wasn't.",-1,100
"I wrote about that in my book...",-1,100
"So is it President Obama's fault?",-1,101
"... before you even announced.",-1,102
"Is it President Obama's fault?",-1,103
"Look, there are differences...",-1,104
"Secretary, is it President Obama's fault?",-1,105
"There are...",-1,106
"Because he's pushing it.",-1,107
"There are different views about what's good for our country, our economy, and our leadership in the world.",-1,108
"And I think it's important to look at what we need to do to get the economy going again.",-1,108
"That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.",-1,108
"But you have no plan.",-1,109
"But in — oh, but I do.",-1,110
"Secretary, you have no plan.",-1,111
"In fact, I have written a book about it.",-1,112
"It's called ""Stronger Together.""",-1,112
"You can pick it up tomorrow at a bookstore...",-1,112
"That's about all you've...",-1,113
"Folks, we're going to...",-1,114
"... or at an airport near you.",-1,115
"We're going to move to...",-1,116
"But it's because I see this — we need to have strong growth, fair growth, sustained growth.",-1,117
"We also have to look at how we help families balance the responsibilities at home and the responsibilities at business.",-1,117
"So we have a very robust set of plans.",-1,118
"And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.",-1,118
"You are going to approve one of the biggest tax cuts in history.",-1,119
"You are going to approve one of the biggest tax increases in history.",-1,119
"You are going to drive business out.",-1,119
"Your regulations are a disaster, and you're going to increase regulations all over the place.",-1,119
"And by the way, my tax cut is the biggest since Ronald Reagan.",-1,120
"I'm very proud of it.",-1,120
"It will create tremendous numbers of new jobs.",-1,120
"But regulations, you are going to regulate these businesses out of existence.",-1,121
"When I go around — Lester, I tell you this, I've been all over.",-1,122
"And when I go around, despite the tax cut, the thing — the things that business as in people like the most is the fact that I'm cutting regulation.",-1,122
"You have regulations on top of regulations, and new companies cannot form and old companies are going out of business.",-1,122
"And you want to increase the regulations and make them even worse.",-1,122
"I'm going to cut regulations.",-1,123
"I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.",-1,123
"Let me get you to pause right there, because we're going to move into — we're going to move into the next segment.",-1,124
"We're going to talk taxes...",-1,124
"That can't — that can't be left to stand.",-1,125
"Please just take 30 seconds and then we're going to go on.",-1,126
"I kind of assumed that there would be a lot of these charges and claims, and so...",-1,127
"Facts.",-1,128
"So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker.",-1,129
"So if you want to see in real-time what the facts are, please go and take a look.",-1,129
"Because what I have proposed...",-1,129
"And take a look at mine, also, and you'll see.",-1,130
"... would not add a penny to the debt, and your plans would add $5 trillion to the debt.",-1,131
"What I have proposed would cut regulations and streamline them for small businesses.",-1,131
"What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy.",-1,131
"And I think it's time that the wealthy and corporations paid their fair share to support this country.",-1,131
"Well, you just opened the next segment.",-1,132
"Well, could I just finish — I think I...",-1,133
"I'm going to give you a chance right here...",-1,134
"I think I should — you go to her website, and you take a look at her website.",-1,135
"... with a new 15-minute segment...",-1,136
"She's going to raise taxes $1.3 trillion.",-1,137
"Mr. Trump, I'm going to...",-1,138
"And look at her website.",-1,139
"You know what?",-1,139
"It's no difference than this.",-1,139
"She's telling us how to fight ISIS.",-1,139
"Just go to her website.",-1,139
"She tells you how to fight ISIS on her website.",-1,139
"I don't think General Douglas MacArthur would like that too much.",-1,139
"The next segment, we're continuing...",-1,140
"Well, at least I have a plan to fight ISIS.",-1,141
"... achieving prosperity...",-1,142
"No, no, you're telling the enemy everything you want to do.",-1,143
"No, we're not.",-1,144
"No, we're not.",-1,144
"See, you're telling the enemy everything you want to do.",-1,145
"No wonder you've been fighting — no wonder you've been fighting ISIS your entire adult life.",-1,145
"That's a — that's — go to the — please, fact checkers, get to work.",-1,146
"OK, you are unpacking a lot here.",-1,147
"And we're still on the issue of achieving prosperity.",-1,147
"And I want to talk about taxes.",-1,147
"The fundamental difference between the two of you concerns the wealthy.",-1,147
"Secretary Clinton, you're calling for a tax increase on the wealthiest Americans.",-1,148
"I'd like you to further defend that.",-1,148
"And, Mr. Trump, you're calling for tax cuts for the wealthy.",-1,148
"I'd like you to defend that.",-1,148
"And this next two-minute answer goes to you, Mr. Trump.",-1,148
"Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs.",-1,149
"They're going to expand their companies.",-1,149
"They're going to do a tremendous job.",-1,149
"I'm getting rid of the carried interest provision.",-1,150
"And if you really look, it's not a tax — it's really not a great thing for the wealthy.",-1,150
"It's a great thing for the middle class.",-1,150
"It's a great thing for companies to expand.",-1,150
"And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what — is so bad.",-1,151
"So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country.",-1,152
"And instead of bringing it back and putting the money to work, because they can't work out a deal to — and everybody agrees it should be brought back.",-1,152
"Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together.",-1,153
"Because we have — we have a president that can't sit them around a table and get them to approve something.",-1,153
"And here's the thing.",-1,154
"Republicans and Democrats agree that this should be done, $2.5 trillion.",-1,154
"I happen to think it's double that.",-1,154
"It's probably $5 trillion that we can't bring into our country, Lester.",-1,154
"And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful.",-1,154
"But we have no leadership.",-1,155
"And honestly, that starts with Secretary Clinton.",-1,155
"All right.",-1,156
"You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",-1,156
"I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.",-1,157
"Why not?",-1,158
"Why not?",-1,159
"Yeah, why not?",-1,159
"You know, just join the debate by saying more crazy things.",-1,160
"Now, let me say this, it is absolutely the case...",-1,160
"There's nothing crazy about not letting our companies bring their money back into their country.",-1,161
"This is — this is Secretary Clinton's two minutes, please.",-1,162
"Yes.",-1,163
"Yeah, well, let's start the clock again, Lester.",-1,164
"We've looked at your tax proposals.",-1,164
"I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas.",-1,164
"I happen to support that.",-1,164
"Then you didn't read it.",-1,165
"I happen to — I happen to support that in a way that will actually work to our benefit.",-1,166
"But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do.",-1,166
"You've proposed an approach that has a...",-1,166
"Who gave it that name?",-1,167
"The first I've — who gave it that name?",-1,167
"Mr. Trump, this is Secretary Clinton's two minutes.",-1,168
"...",-1,169
"$4 billion tax benefit for your family.",-1,169
"And when you look at what you are proposing...",-1,169
"How much?",-1,170
"How much for my family?",-1,170
"... it is...",-1,171
"Lester, how much?",-1,172
"... as I said, trumped-up trickle-down.",-1,173
"Trickle-down did not work.",-1,173
"It got us into the mess we were in, in 2008 and 2009.",-1,173
"Slashing taxes on the wealthy hasn't worked.",-1,173
"And a lot of really smart, wealthy people know that.",-1,174
"And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.",-1,174
"I don't think top-down works in America.",-1,175
"I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their — their debt from college at a lower rate.",-1,175
"Those are the kinds of things that will really boost the economy.",-1,175
"Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.",-1,175
"Mr. Trump, we're...",-1,176
"Typical politician.",-1,177
"All talk, no action.",-1,177
"Sounds good, doesn't work.",-1,177
"Never going to happen.",-1,177
"Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.",-1,177
"Now, look, we have the worst revival of an economy since the Great Depression.",-1,178
"And believe me: We're in a bubble right now.",-1,178
"And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down.",-1,178
"We are in a big, fat, ugly bubble.",-1,179
"And we better be awfully careful.",-1,179
"And we have a Fed that's doing political things.",-1,179
"This Janet Yellen of the Fed.",-1,179
"The Fed is doing political — by keeping the interest rates at this level.",-1,179
"And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job.",-1,179
"The Fed is being more political than Secretary Clinton.",-1,179
"Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns.",-1,180
"And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to — who he owes it to and any business conflicts.",-1,180
"Don't Americans have a right to know if there are any conflicts of interest?",-1,180
"I don't mind releasing — I'm under a routine audit.",-1,181
"And it'll be released.",-1,181
"And — as soon as the audit's finished, it will be released.",-1,181
"But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have.",-1,182
"It shows income — in fact, the income — I just looked today — the income is filed at $694 million for this past year, $694 million.",-1,182
"If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised.",-1,182
"But that's the kind of thinking that our country needs.",-1,183
"When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody — Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year.",-1,183
"You know what that is?",-1,183
"That means, who's negotiating these trade deals?",-1,183
"We have people that are political hacks negotiating our trade deals.",-1,184
"The IRS says an audit...",-1,185
"Excuse me.",-1,186
"... of your taxes — you're perfectly free to release your taxes during an audit.",-1,187
"And so the question, does the public's right to know outweigh your personal...",-1,187
"Well, I told you, I will release them as soon as the audit.",-1,188
"Look, I've been under audit almost for 15 years.",-1,188
"I know a lot of wealthy people that have never been audited.",-1,188
"I said, do you get audited?",-1,188
"I get audited almost every year.",-1,188
"And in a way, I should be complaining.",-1,189
"I'm not even complaining.",-1,189
"I don't mind it.",-1,189
"It's almost become a way of life.",-1,189
"I get audited by the IRS.",-1,189
"But other people don't.",-1,189
"I will say this.",-1,190
"We have a situation in this country that has to be taken care of.",-1,190
"I will release my tax returns — against my lawyer's wishes — when she releases her 33,000 emails that have been deleted.",-1,190
"As soon as she releases them, I will release.",-1,190
"I will release my tax returns.",-1,191
"And that's against — my lawyers, they say, ""Don't do it.""",-1,191
"I will tell you this.",-1,191
"No — in fact, watching shows, they're reading the papers.",-1,191
"Almost every lawyer says, you don't release your returns until the audit's complete.",-1,191
"When the audit's complete, I'll do it.",-1,191
"But I would go against them if she releases her emails.",-1,191
"So it's negotiable?",-1,192
"It's not negotiable, no.",-1,193
"Let her release the emails.",-1,193
"Why did she delete 33,000...",-1,193
"Well, I'll let her answer that.",-1,194
"But let me just admonish the audience one more time.",-1,194
"There was an agreement.",-1,194
"We did ask you to be silent, so it would be helpful for us.",-1,194
"Secretary Clinton?",-1,194
"Well, I think you've seen another example of bait-and- switch here.",-1,195
"For 40 years, everyone running for president has released their tax returns.",-1,195
"You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it.",-1,195
"We know the IRS has made clear there is no prohibition on releasing it when you're under audit.",-1,195
"So you've got to ask yourself, why won't he release his tax returns?",-1,196
"And I think there may be a couple of reasons.",-1,196
"First, maybe he's not as rich as he says he is.",-1,196
"Second, maybe he's not as charitable as he claims to be.",-1,196
"Third, we don't know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks.",-1,197
"Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.",-1,197
"That makes me smart.",-1,198
"So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health.",-1,199
"And I think probably he's not all that enthusiastic about having the rest of our country see what the real reasons are, because it must be something really important, even terrible, that he's trying to hide.",-1,199
"And the financial disclosure statements, they don't give you the tax rate.",-1,200
"They don't give you all the details that tax returns would.",-1,200
"And it just seems to me that this is something that the American people deserve to see.",-1,200
"And I have no reason to believe that he's ever going to release his tax returns, because there's something he's hiding.",-1,200
"And we'll guess.",-1,201
"We'll keep guessing at what it might be that he's hiding.",-1,201
"But I think the question is, were he ever to get near the White House, what would be those conflicts?",-1,201
"Who does he owe money to?",-1,201
"Well, he owes you the answers to that, and he should provide them.",-1,201
"He also — he also raised the issue of your emails.",-1,202
"Do you want to respond to that?",-1,202
"I do.",-1,203
"You know, I made a mistake using a private e- mail.",-1,203
"That's for sure.",-1,203
"And if I had to do it over again, I would, obviously, do it differently.",-1,204
"But I'm not going to make any excuses.",-1,204
"It was a mistake, and I take responsibility for that.",-1,204
"Mr. Trump?",-1,205
"That was more than a mistake.",-1,206
"That was done purposely.",-1,206
"OK?",-1,206
"That was not a mistake.",-1,206
"That was done purposely.",-1,206
"When you have your staff taking the Fifth Amendment, taking the Fifth so they're not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it's disgraceful.",-1,206
"And believe me, this country thinks it's — really thinks it's disgraceful, also.",-1,206
"As far as my tax returns, you don't learn that much from tax returns.",-1,207
