"text_id","question_id","speaker","text","text_type"
14,2,"Clinton","I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.","y"
15,2,"Clinton","I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top.","y"
16,2,"Clinton","And I want us to do more to support people who are struggling to balance family and work. I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days. Let's be sure we have affordable child care and debt-free college.","y"
17,2,"Clinton","How are we going to do it? We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.","y"
18,2,"Clinton","Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you. We're going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.","n"
19,2,"Holt","Secretary Clinton, thank you.","q"
20,2,"Holt","Mr. Trump, the same question to you. It's about putting money — more money into the pockets of American workers. You have up to two minutes.","q"
21,2,"Trump","Thank you, Lester. Our jobs are fleeing the country. They're going to Mexico. They're going to many other countries. You look at what China is doing to our country in terms of making our product. They're devaluing their currency, and there's nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.","y"
22,2,"Trump","So we're losing our good jobs, so many of them. When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world. They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much.","y"
23,2,"Trump","So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They're all leaving. And we can't allow it to happen anymore.","y"
24,2,"Trump","As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.","n"
25,2,"Trump","But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left — fired 1,400 people. They're going to Mexico. So many hundreds and hundreds of companies are doing this.","y"
26,2,"Trump","We cannot let it happen. Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. That's going to be a job creator like we haven't seen since Ronald Reagan. It's going to be a beautiful thing to watch.","y"
27,2,"Trump","Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.","y"
28,2,"Holt","Secretary Clinton, would you like to respond?","q"
29,2,"Clinton","Well, I think that trade is an important issue. Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals.","y"
30,2,"Clinton","We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.","y"
31,2,"Clinton","I call it trumped-up trickle-down, because that's exactly what it would be. That is not how we grow the economy.","y"
32,2,"Clinton","We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.","y"
33,2,"Clinton","I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.","n"
34,2,"Clinton","I don't buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going.","n"
35,2,"Clinton","And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow. That's the kind of economy I want us to see again.","y"
36,2,"Holt","Let me follow up with Mr. Trump, if you can. You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans.","q"
37,3,"Holt","How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?","qq"
38,3,"Trump","Well, for one thing — and before we start on that — my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs.","n"
39,3,"Trump","Our country's in deep trouble. We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China. They're the best, the best ever at it. What they're doing to us is a very, very sad thing.","n"
40,3,"Trump","So we have to do that. We have to renegotiate our trade deals. And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do.","y"
41,3,"Trump","Let me give you the example of Mexico. They have a VAT tax. We're on a different system. When we sell into Mexico, there's a tax. When they sell in — automatic, 16 percent, approximately. When they sell into us, there's no tax. It's a defective agreement. It's been defective for a long time, many years, but the politicians haven't done anything about it.","y"
42,3,"Trump","Now, in all fairness to Secretary Clinton — yes, is that OK? Good. I want you to be very happy. It's very important to me.","n"
43,3,"Trump","But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She's been doing this for 30 years. And why hasn't she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact...","n"
44,3,"Holt","Let me interrupt just a moment, but...","q"
45,3,"Trump","Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years. What's happened to our jobs and our country and our economy generally is — look, we owe $20 trillion. We cannot do it any longer, Lester.","n"
46,3,"Holt","Back to the question, though. How do you bring back — specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?","q"
47,3,"Trump","Well, the first thing you do is don't let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They're leaving, and they're leaving in bigger numbers than ever.","n"
48,3,"Trump","And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong.","n"
49,3,"Trump","And once you say you're going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I'm saying is, we can stop them from leaving. We have to stop them from leaving. And that's a big, big factor.","n"
50,3,"Holt","Let me let Secretary Clinton get in here.","q"
51,3,"Clinton","Well, let's stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.","n"
52,3,"Clinton","In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money."" Well, it did collapse.","n"
53,3,"Trump","That's called business, by the way.","n"
54,3,"Clinton","Nine million people — nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out.","n"
55,3,"Clinton","Now, we have come back from that abyss. And it has not been easy. So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.","n"
56,3,"Clinton","Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.","n"
57,3,"Clinton","They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean- energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it's real.","y"
58,3,"Trump","I did not. I did not. I do not say that.","n"
59,3,"Clinton","I think science is real.","n"
60,3,"Trump","I do not say that.","n"
61,3,"Clinton","And I think it's important that we grip this and deal with it, both at home and abroad. And here's what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That's a lot of jobs; that's a lot of new economic activity.","y"
62,3,"Clinton","So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place.","n"
63,3,"Holt","Mr. Trump?","q"
64,3,"Trump","She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one.","n"
65,3,"Trump","Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can't do what you're looking to do with $20 trillion in debt.","n"
66,3,"Trump","The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it. He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.","n"
67,3,"Trump","So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it.","y"
68,3,"Trump","And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone.","y"
69,3,"Trump","And, Hillary, I'd just ask you this. You've been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you've been doing it, and now you're just starting to think of solutions.","n"
70,3,"Clinton","Well, actually...","n"
71,3,"Trump","I will bring — excuse me. I will bring back jobs. You can't bring back jobs.","n"
72,3,"Clinton","Well, actually, I have thought about this quite a bit.","n"
73,3,"Trump","Yeah, for 30 years.","n"
74,3,"Clinton","And I have — well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again...","n"
75,3,"Trump","Well, he approved NAFTA...","n"
76,3,"Clinton","... million new jobs, a balanced budget...","n"
77,3,"Trump","He approved NAFTA, which is the single worst trade deal ever approved in this country.","n"
78,3,"Clinton","Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts.","n"
79,3,"Clinton","When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals.","y"
80,3,"Clinton","But let's not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I've said what I'm going to do. I'm going to have a special prosecutor. We're going to enforce the trade deals we have, and we're going to hold people accountable.","y"
81,3,"Clinton","When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.","y"
82,3,"Holt","Very quickly...","q"
83,3,"Trump","But you haven't done it in 30 years or 26 years or any number you want to...","n"
84,3,"Clinton","Well, I've been a senator, Donald...","n"
85,3,"Trump","You haven't done it. You haven't done it.","n"
86,3,"Clinton","And I have been a secretary of state...","n"
87,3,"Trump","Excuse me.","n"
88,3,"Clinton","And I have done a lot...","n"
89,3,"Trump","Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.","n"
90,3,"Clinton","Well, that's your opinion. That is your opinion.","n"
91,3,"Trump","You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country.","n"
92,3,"Trump","And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can't win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.","n"
93,3,"Clinton","Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in...","n"
94,3,"Trump","You called it the gold standard.","n"
95,3,"Trump","You called it the gold standard of trade deals. You said it's the finest deal you've ever seen.","n"
96,3,"Clinton","No.","n"
97,3,"Trump","And then you heard what I said about it, and all of a sudden you were against it.","n"
98,3,"Clinton","Well, Donald, I know you live in your own reality, but that is not the facts. The facts are — I did say I hoped it would be a good deal, but when it was negotiated...","n"
99,3,"Trump","Not.","n"
100,3,"Clinton","... which I was not responsible for, I concluded it wasn't. I wrote about that in my book...","n"
101,3,"Trump","So is it President Obama's fault?","n"
102,3,"Clinton","... before you even announced.","n"
103,3,"Trump","Is it President Obama's fault?","n"
104,3,"Clinton","Look, there are differences...","y"
105,3,"Trump","Secretary, is it President Obama's fault?","n"
106,3,"Clinton","There are...","n"
107,3,"Trump","Because he's pushing it.","n"
108,3,"Clinton","There are different views about what's good for our country, our economy, and our leadership in the world. And I think it's important to look at what we need to do to get the economy going again. That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.","n"
109,3,"Trump","But you have no plan.","n"
110,3,"Clinton","But in — oh, but I do.","n"
111,3,"Trump","Secretary, you have no plan.","n"
112,3,"Clinton","In fact, I have written a book about it. It's called ""Stronger Together."" You can pick it up tomorrow at a bookstore...","n"
113,3,"Trump","That's about all you've...","n"
114,3,"Holt","Folks, we're going to...","q"
115,3,"Clinton","... or at an airport near you.","n"
116,3,"Holt","We're going to move to...","q"
117,3,"Clinton","But it's because I see this — we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business.","y"
118,3,"Clinton","So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.","y"
119,3,"Trump","You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place.","n"
120,3,"Trump","And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs.","y"
121,3,"Trump","But regulations, you are going to regulate these businesses out of existence.","n"
122,3,"Trump","When I go around — Lester, I tell you this, I've been all over. And when I go around, despite the tax cut, the thing — the things that business as in people like the most is the fact that I'm cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse.","n"
123,3,"Trump","I'm going to cut regulations. I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.","n"
124,3,"Holt","Let me get you to pause right there, because we're going to move into — we're going to move into the next segment. We're going to talk taxes...","q"
125,3,"Clinton","That can't — that can't be left to stand.","n"
126,3,"Holt","Please just take 30 seconds and then we're going to go on.","q"
127,3,"Clinton","I kind of assumed that there would be a lot of these charges and claims, and so...","n"
128,3,"Trump","Facts.","n"
129,3,"Clinton","So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed...","n"
130,3,"Trump","And take a look at mine, also, and you'll see.","n"
131,3,"Clinton","... would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it's time that the wealthy and corporations paid their fair share to support this country.","y"
132,3,"Holt","Well, you just opened the next segment.","q"
133,3,"Trump","Well, could I just finish — I think I...","n"
134,3,"Holt","I'm going to give you a chance right here...","q"
135,3,"Trump","I think I should — you go to her website, and you take a look at her website.","y"
136,3,"Holt","... with a new 15-minute segment...","q"
137,3,"Trump","She's going to raise taxes $1.3 trillion.","n"
138,3,"Holt","Mr. Trump, I'm going to...","q"
139,3,"Trump","And look at her website. You know what? It's no difference than this. She's telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don't think General Douglas MacArthur would like that too much.","n"
140,3,"Holt","The next segment, we're continuing...","q"
141,3,"Clinton","Well, at least I have a plan to fight ISIS.","n"
142,3,"Holt","... achieving prosperity...","q"
143,3,"Trump","No, no, you're telling the enemy everything you want to do.","n"
144,3,"Clinton","No, we're not. No, we're not.","n"
145,3,"Trump","See, you're telling the enemy everything you want to do. No wonder you've been fighting — no wonder you've been fighting ISIS your entire adult life.","n"
146,3,"Clinton","That's a — that's — go to the — please, fact checkers, get to work.","n"
147,3,"Holt","OK, you are unpacking a lot here. And we're still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy.","q"
148,4,"Holt","Secretary Clinton, you're calling for a tax increase on the wealthiest Americans. I'd like you to further defend that. And, Mr. Trump, you're calling for tax cuts for the wealthy. I'd like you to defend that. And this next two-minute answer goes to you, Mr. Trump.","qq"
149,4,"Trump","Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs. They're going to expand their companies. They're going to do a tremendous job.","n"
150,4,"Trump","I'm getting rid of the carried interest provision. And if you really look, it's not a tax — it's really not a great thing for the wealthy. It's a great thing for the middle class. It's a great thing for companies to expand.","n"
151,4,"Trump","And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what — is so bad.","n"
152,4,"Trump","So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can't work out a deal to — and everybody agrees it should be brought back.","n"
153,4,"Trump","Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together. Because we have — we have a president that can't sit them around a table and get them to approve something.","n"
154,4,"Trump","And here's the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it's double that. It's probably $5 trillion that we can't bring into our country, Lester. And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful.","n"
155,4,"Trump","But we have no leadership. And honestly, that starts with Secretary Clinton.","n"
156,4,"Holt","All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.","q"
157,4,"Clinton","I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.","n"
158,4,"Trump","Why not?","n"
159,4,"Clinton","Why not? Yeah, why not?","n"
160,4,"Clinton","You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case...","n"
161,4,"Trump","There's nothing crazy about not letting our companies bring their money back into their country.","n"
162,4,"Holt","This is — this is Secretary Clinton's two minutes, please.","q"
163,4,"Trump","Yes.","n"
164,4,"Clinton","Yeah, well, let's start the clock again, Lester. We've looked at your tax proposals. I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas. I happen to support that.","n"
165,4,"Trump","Then you didn't read it.","n"
166,4,"Clinton","I happen to — I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You've proposed an approach that has a...","n"
167,4,"Trump","Who gave it that name? The first I've — who gave it that name?","n"
168,4,"Holt","Mr. Trump, this is Secretary Clinton's two minutes.","q"
169,4,"Clinton","... $4 billion tax benefit for your family. And when you look at what you are proposing...","n"
170,4,"Trump","How much? How much for my family?","n"
171,4,"Clinton","... it is...","n"
172,4,"Trump","Lester, how much?","n"
173,4,"Clinton","... as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn't worked.","n"
174,4,"Clinton","And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.","n"
175,4,"Clinton","I don't think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their — their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.","n"
176,4,"Holt","Mr. Trump, we're...","q"
177,4,"Trump","Typical politician. All talk, no action. Sounds good, doesn't work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.","n"
178,4,"Trump","Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We're in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down.","n"
179,4,"Trump","We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that's doing political things. This Janet Yellen of the Fed. The Fed is doing political — by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.","n"
180,5,"Holt","Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to — who he owes it to and any business conflicts. Don't Americans have a right to know if there are any conflicts of interest?","qq"
181,5,"Trump","I don't mind releasing — I'm under a routine audit. And it'll be released. And — as soon as the audit's finished, it will be released.","y"
182,5,"Trump","But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income — in fact, the income — I just looked today — the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised.","y"
183,5,"Trump","But that's the kind of thinking that our country needs. When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody — Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who's negotiating these trade deals?","n"
184,5,"Trump","We have people that are political hacks negotiating our trade deals.","n"
185,5,"Holt","The IRS says an audit...","q"
186,5,"Trump","Excuse me.","n"
187,5,"Holt","... of your taxes — you're perfectly free to release your taxes during an audit. And so the question, does the public's right to know outweigh your personal...","q"
188,5,"Trump","Well, I told you, I will release them as soon as the audit. Look, I've been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year.","y"
189,5,"Trump","And in a way, I should be complaining. I'm not even complaining. I don't mind it. It's almost become a way of life. I get audited by the IRS. But other people don't.","y"
190,5,"Trump","I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns — against my lawyer's wishes — when she releases her 33,000 emails that have been deleted. As soon as she releases them, I will release.","n"
191,5,"Trump","I will release my tax returns. And that's against — my lawyers, they say, ""Don't do it."" I will tell you this. No — in fact, watching shows, they're reading the papers. Almost every lawyer says, you don't release your returns until the audit's complete. When the audit's complete, I'll do it. But I would go against them if she releases her emails.","y"
192,5,"Holt","So it's negotiable?","q"
193,5,"Trump","It's not negotiable, no. Let her release the emails. Why did she delete 33,000...","n"
194,5,"Holt","Well, I'll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?","q"
195,5,"Clinton","Well, I think you've seen another example of bait-and- switch here. For 40 years, everyone running for president has released their tax returns. You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it. We know the IRS has made clear there is no prohibition on releasing it when you're under audit.","y"
196,5,"Clinton","So you've got to ask yourself, why won't he release his tax returns? And I think there may be a couple of reasons. First, maybe he's not as rich as he says he is. Second, maybe he's not as charitable as he claims to be.","y"
197,5,"Clinton","Third, we don't know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks. Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.","y"
198,5,"Trump","That makes me smart.","y"
199,5,"Clinton","So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health. And I think probably he's not all that enthusiastic about having the rest of our country see what the real reasons are, because it must be something really important, even terrible, that he's trying to hide.","y"
200,5,"Clinton","And the financial disclosure statements, they don't give you the tax rate. They don't give you all the details that tax returns would. And it just seems to me that this is something that the American people deserve to see. And I have no reason to believe that he's ever going to release his tax returns, because there's something he's hiding.","y"
201,5,"Clinton","And we'll guess. We'll keep guessing at what it might be that he's hiding. But I think the question is, were he ever to get near the White House, what would be those conflicts? Who does he owe money to? Well, he owes you the answers to that, and he should provide them.","y"
202,6,"Holt","He also — he also raised the issue of your emails. Do you want to respond to that?","qq"
203,6,"Clinton","I do. You know, I made a mistake using a private e- mail. That's for sure.","y"
204,6,"Clinton","And if I had to do it over again, I would, obviously, do it differently. But I'm not going to make any excuses. It was a mistake, and I take responsibility for that.","y"
205,6,"Holt","Mr. Trump?","q"
206,6,"Trump","That was more than a mistake. That was done purposely. OK? That was not a mistake. That was done purposely. When you have your staff taking the Fifth Amendment, taking the Fifth so they're not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it's disgraceful. And believe me, this country thinks it's — really thinks it's disgraceful, also.","y"
207,6,"Trump","As far as my tax returns, you don't learn that much from tax returns. That I can tell you. You learn a lot from financial disclosure. And you should go down and take a look at that.","y"
208,6,"Trump","The other thing, I'm extremely underleveraged. The report that said $650 — which, by the way, a lot of friends of mine that know my business say, boy, that's really not a lot of money. It's not a lot of money relative to what I had.","n"
209,6,"Trump","The buildings that were in question, they said in the same report, which was — actually, it wasn't even a bad story, to be honest with you, but the buildings are worth $3.9 billion. And the $650 isn't even on that. But it's not $650. It's much less than that.","n"
210,6,"Trump","But I could give you a list of banks, I would — if that would help you, I would give you a list of banks. These are very fine institutions, very fine banks. I could do that very quickly.","n"
211,6,"Trump","I am very underleveraged. I have a great company. I have a tremendous income. And the reason I say that is not in a braggadocios way. It's because it's about time that this country had somebody running it that has an idea about money.","n"
212,6,"Trump","When we have $20 trillion in debt, and our country's a mess, you know, it's one thing to have $20 trillion in debt and our roads are good and our bridges are good and everything's in great shape, our airports. Our airports are like from a third world country.","n"
213,6,"Trump","You land at LaGuardia, you land at Kennedy, you land at LAX, you land at Newark, and you come in from Dubai and Qatar and you see these incredible — you come in from China, you see these incredible airports, and you land — we've become a third world country.","n"
214,6,"Trump","So the worst of all things has happened. We owe $20 trillion, and we're a mess. We haven't even started. And we've spent $6 trillion in the Middle East, according to a report that I just saw. Whether it's 6 or 5, but it looks like it's 6, $6 trillion in the Middle East, we could have rebuilt our country twice.","n"
215,6,"Trump","And it's really a shame. And it's politicians like Secretary Clinton that have caused this problem. Our country has tremendous problems. We're a debtor nation. We're a serious debtor nation. And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals. And we don't have the money, because it's been squandered on so many of your ideas.","n"
