"lemma","text.content","text.beginOffset","partOfSpeech.tag","dependencyEdge.headTokenIndex","dependencyEdge.label","text_id","bigram","trigram"
"however","however",-1,"ADV",2,"ADVMOD",5,"however moment","however moment welcome"
"moment","moment",-1,"NOUN",9,"POBJ",5,"moment welcome","moment welcome candidate"
"welcome","welcome",-1,"VERB",2,"ADVCL",5,"welcome candidate","welcome candidate democratic"
"candidate","candidates",-1,"NOUN",15,"DOBJ",5,"candidate democratic","candidate democratic nominee"
"democratic","Democratic",-1,"ADJ",20,"AMOD",5,"democratic nominee","democratic nominee president"
"nominee","nominee",-1,"NOUN",17,"APPOS",5,"nominee president","nominee president united"
"president","president",-1,"NOUN",21,"POBJ",5,"president united","president united states"
"united","United",-1,"NOUN",26,"NN",5,"united states","united states hillary"
"states","States",-1,"NOUN",23,"POBJ",5,"states hillary","states hillary clinton"
"hillary","Hillary",-1,"NOUN",29,"NN",5,"hillary clinton","hillary clinton republican"
"clinton","Clinton",-1,"NOUN",26,"CONJ",5,"clinton republican","clinton republican nominee"
"republican","Republican",-1,"ADJ",33,"AMOD",5,"republican nominee","republican nominee president"
"nominee","nominee",-1,"NOUN",20,"CONJ",5,"nominee president","nominee president united"
"president","president",-1,"NOUN",34,"POBJ",5,"president united","president united states"
"united","United",-1,"NOUN",39,"NN",5,"united states","united states donald"
"states","States",-1,"NOUN",36,"POBJ",5,"states donald","states donald j."
"donald","Donald",-1,"NOUN",43,"NN",5,"donald j.","donald j. trump"
"j.","J.",-1,"NOUN",43,"NN",5,"j. trump",NA
"trump","Trump",-1,"NOUN",20,"APPOS",5,NA,NA
"how","How",-1,"ADV",1,"ADVMOD",6,"how donald",NA
"donald","Donald",-1,"NOUN",1,"DEP",6,NA,NA
"good","Good",-1,"ADJ",1,"AMOD",7,"good luck",NA
"luck","luck",-1,"NOUN",1,"ROOT",7,NA,NA
"i","I",-1,"PRON",5,"NSUBJ",8,"i n't","i n't expect"
"n't","n't",-1,"ADV",5,"NEG",8,"n't expect","n't expect us"
"expect","expect",-1,"VERB",5,"ROOT",8,"expect us","expect us cover"
"us","us",-1,"PRON",8,"NSUBJ",8,"us cover","us cover issue"
"cover","cover",-1,"VERB",5,"XCOMP",8,"cover issue","cover issue campaign"
"issue","issues",-1,"NOUN",8,"DOBJ",8,"issue campaign","issue campaign tonight"
"campaign","campaign",-1,"NOUN",12,"POBJ",8,"campaign tonight","campaign tonight i"
"tonight","tonight",-1,"NOUN",8,"TMOD",8,"tonight i","tonight i remind"
"i","I",-1,"PRON",19,"NSUBJ",8,"i remind","i remind everyone"
"remind","remind",-1,"VERB",5,"CONJ",8,"remind everyone","remind everyone presidential"
"everyone","everyone",-1,"NOUN",19,"DOBJ",8,"everyone presidential","everyone presidential debate"
"presidential","presidential",-1,"ADJ",27,"AMOD",8,"presidential debate","presidential debate schedule"
"debate","debates",-1,"NOUN",23,"NSUBJ",8,"debate schedule","debate schedule we"
"schedule","scheduled",-1,"VERB",27,"VMOD",8,"schedule we","schedule we go"
"we","We",-1,"PRON",32,"NSUBJ",8,"we go","we go focus"
"go","going",-1,"VERB",32,"ROOT",8,"go focus","go focus many"
"focus","focus",-1,"VERB",32,"XCOMP",8,"focus many","focus many issue"
"many","many",-1,"ADJ",35,"POBJ",8,"many issue","many issue voter"
"issue","issues",-1,"NOUN",37,"POBJ",8,"issue voter","issue voter tell"
"voter","voters",-1,"NOUN",42,"NSUBJ",8,"voter tell","voter tell us"
"tell","tell",-1,"VERB",39,"RCMOD",8,"tell us","tell us important"
"us","us",-1,"PRON",42,"DOBJ",8,"us important","us important go"
"important","important",-1,"ADJ",44,"ACOMP",8,"important go","important go press"
"go","going",-1,"VERB",32,"CONJ",8,"go press","go press specifics"
"press","press",-1,"VERB",51,"XCOMP",8,"press specifics","press specifics i"
"specifics","specifics",-1,"NOUN",54,"POBJ",8,"specifics i","specifics i honore"
"i","I",-1,"PRON",59,"NSUBJPASS",8,"i honore","i honore role"
"honore","honored",-1,"VERB",59,"ROOT",8,"honore role","honore role evening"
"role","role",-1,"NOUN",61,"DOBJ",8,"role evening","role evening belong"
"evening","evening",-1,"NOUN",68,"NSUBJ",8,"evening belong","evening belong candidate"
"belong","belongs",-1,"VERB",59,"CONJ",8,"belong candidate","belong candidate just"
"candidate","candidates",-1,"NOUN",69,"POBJ",8,"candidate just","candidate just important"
"just","just",-1,"ADV",76,"ADVMOD",8,"just important","just important american"
"important","important",-1,"ADJ",68,"ACOMP",8,"important american","important american person"
"american","American",-1,"ADJ",81,"AMOD",8,"american person",NA
"person","people",-1,"NOUN",78,"POBJ",8,NA,NA
"candidate","Candidates",-1,"NOUN",3,"NSUBJ",9,"candidate look","candidate look forward"
"look","look",-1,"VERB",3,"ROOT",9,"look forward","look forward hear"
"forward","forward",-1,"ADV",3,"ADVMOD",9,"forward hear","forward hear articulate"
"hear","hearing",-1,"VERB",5,"PCOMP",9,"hear articulate","hear articulate policy"
"articulate","articulate",-1,"VERB",6,"CCOMP",9,"articulate policy","articulate policy position"
"policy","policies",-1,"NOUN",8,"DOBJ",9,"policy position","policy position well"
"position","positions",-1,"NOUN",10,"CONJ",9,"position well","position well vision"
"well","well",-1,"ADV",10,"CC",9,"well vision","well vision value"
"vision","visions",-1,"NOUN",10,"CONJ",9,"vision value","vision value so"
"value","values",-1,"NOUN",19,"CONJ",9,"value so","value so let"
"so","So",-1,"ADV",26,"ADVMOD",9,"so let","so let begin"
"let","let",-1,"VERB",26,"ROOT",9,"let begin",NA
"begin","begin",-1,"VERB",26,"CCOMP",9,NA,NA
"we","We",-1,"PRON",2,"NSUBJ",10,"we call","we call opening"
"call","calling",-1,"VERB",2,"ROOT",10,"call opening","call opening segment"
"opening","opening",-1,"NOUN",5,"NN",10,"opening segment","opening segment achieve"
"segment","segment",-1,"NOUN",2,"DOBJ",10,"segment achieve","segment achieve prosperity"
"achieve","Achieving",-1,"VERB",5,"VMOD",10,"achieve prosperity","achieve prosperity central"
"prosperity","Prosperity",-1,"NOUN",7,"DOBJ",10,"prosperity central","prosperity central job"
"central","central",-1,"ADJ",15,"NSUBJ",10,"central job","central job economic"
"job","jobs",-1,"NOUN",15,"ATTR",10,"job economic","job economic reality"
"economic","economic",-1,"ADJ",22,"AMOD",10,"economic reality","economic reality america"
"reality","realities",-1,"NOUN",19,"NSUBJ",10,"reality america","reality america today"
"america","America",-1,"NOUN",23,"POBJ",10,"america today","america today record"
"today","today",-1,"NOUN",22,"TMOD",10,"today record","today record straight"
"record","record",-1,"ADJ",34,"AMOD",10,"record straight","record straight year"
"straight","straight",-1,"ADJ",34,"AMOD",10,"straight year","straight year job"
"year","years",-1,"NOUN",29,"ATTR",10,"year job","year job growth"
"job","job",-1,"NOUN",37,"NN",10,"job growth","job growth new"
"growth","growth",-1,"NOUN",35,"POBJ",10,"growth new","growth new census"
"new","new",-1,"ADJ",42,"AMOD",10,"new census","new census number"
"census","census",-1,"NOUN",42,"NN",10,"census number","census number show"
"number","numbers",-1,"NOUN",43,"NSUBJ",10,"number show","number show income"
"show","show",-1,"VERB",29,"CONJ",10,"show income","show income increase"
"income","incomes",-1,"NOUN",46,"NSUBJ",10,"income increase","income increase record"
"increase","increased",-1,"VERB",43,"CCOMP",10,"increase record","increase record rate"
"record","record",-1,"NOUN",50,"NN",10,"record rate","record rate year"
"rate","rate",-1,"NOUN",47,"POBJ",10,"rate year","rate year stagnation"
"year","years",-1,"NOUN",51,"POBJ",10,"year stagnation","year stagnation however"
"stagnation","stagnation",-1,"NOUN",53,"POBJ",10,"stagnation however","stagnation however income"
"however","However",-1,"ADV",60,"ADVMOD",10,"however income","however income inequality"
"income","income",-1,"NOUN",59,"NN",10,"income inequality","income inequality remain"
"inequality","inequality",-1,"NOUN",60,"NSUBJ",10,"inequality remain","inequality remain significant"
"remain","remains",-1,"VERB",60,"ROOT",10,"remain significant","remain significant nearly"
"significant","significant",-1,"ADJ",60,"ACOMP",10,"significant nearly","significant nearly half"
"nearly","nearly",-1,"ADV",65,"QUANTMOD",10,"nearly half","nearly half americans"
"half","half",-1,"NOUN",69,"NSUBJ",10,"half americans","half americans live"
"americans","Americans",-1,"NOUN",66,"POBJ",10,"americans live","americans live paycheck"
"live","living",-1,"VERB",60,"CONJ",10,"live paycheck","live paycheck paycheck"
"paycheck","paycheck",-1,"NOUN",69,"DOBJ",10,"paycheck paycheck",NA
"paycheck","paycheck",-1,"NOUN",71,"POBJ",10,NA,NA
"begin","Beginning",-1,"VERB",8,"PREP",11,"begin secretary","begin secretary clinton"
"secretary","Secretary",-1,"NOUN",5,"TITLE",11,"secretary clinton","secretary clinton good"
"clinton","Clinton",-1,"NOUN",8,"NSUBJ",11,"clinton good","clinton good choice"
"good","better",-1,"ADJ",12,"AMOD",11,"good choice","good choice opponent"
"choice","choice",-1,"NOUN",8,"ATTR",11,"choice opponent","choice opponent create"
"opponent","opponent",-1,"NOUN",13,"POBJ",11,"opponent create","opponent create kind"
"create","create",-1,"VERB",12,"VMOD",11,"create kind","create kind job"
"kind","kinds",-1,"NOUN",17,"DOBJ",11,"kind job","kind job will"
"job","jobs",-1,"NOUN",20,"POBJ",11,"job will","job will put"
"will","will",-1,"VERB",24,"AUX",11,"will put","will put money"
"put","put",-1,"VERB",19,"RCMOD",11,"put money","put money pocket"
"money","money",-1,"NOUN",24,"DOBJ",11,"money pocket","money pocket american"
"pocket","pockets",-1,"NOUN",27,"POBJ",11,"pocket american","pocket american worker"
"american","American",-1,"ADJ",32,"AMOD",11,"american worker",NA
"worker","workers",-1,"NOUN",30,"POBJ",11,NA,NA
"thank","thank",-1,"VERB",2,"ROOT",12,"thank lester","thank lester thanks"
"lester","Lester",-1,"NOUN",3,"CONJ",12,"lester thanks","lester thanks hofstra"
"thanks","thanks",-1,"NOUN",2,"CONJ",12,"thanks hofstra","thanks hofstra host"
"hofstra","Hofstra",-1,"NOUN",9,"POBJ",12,"hofstra host","hofstra host us"
"host","hosting",-1,"VERB",11,"PCOMP",12,"host us",NA
"us","us",-1,"PRON",12,"DOBJ",12,NA,NA
"central","central",-1,"ADJ",2,"AMOD",13,"central question","central question election"
"question","question",-1,"NOUN",6,"NSUBJ",13,"question election","question election really"
"election","election",-1,"NOUN",3,"POBJ",13,"election really","election really kind"
"really","really",-1,"ADV",6,"ADVMOD",13,"really kind","really kind country"
"kind","kind",-1,"NOUN",13,"DEP",13,"kind country","kind country want"
"country","country",-1,"NOUN",10,"POBJ",13,"country want","country want kind"
"want","want",-1,"VERB",6,"DEP",13,"want kind","want kind future"
"kind","kind",-1,"NOUN",23,"DOBJ",13,"kind future","kind future will"
"future","future",-1,"NOUN",19,"POBJ",13,"future will","future will build"
"will","'ll",-1,"VERB",23,"AUX",13,"will build","will build together"
"build","build",-1,"VERB",13,"CONJ",13,"build together","build together today"
"together","together",-1,"ADV",23,"ADVMOD",13,"together today","together today granddaughter"
"today","Today",-1,"NOUN",27,"NSUBJ",13,"today granddaughter","today granddaughter second"
"granddaughter","granddaughter",-1,"NOUN",32,"POSS",13,"granddaughter second","granddaughter second birthday"
"second","second",-1,"ADJ",32,"AMOD",13,"second birthday","second birthday i"
"birthday","birthday",-1,"NOUN",27,"ATTR",13,"birthday i","birthday i think"
"i","I",-1,"PRON",36,"NSUBJ",13,"i think","i think lot"
"think","think",-1,"VERB",27,"CONJ",13,"think lot","think lot first"
"lot","lot",-1,"NOUN",36,"DOBJ",13,"lot first","lot first build"
"first","First",-1,"ADV",45,"ADVMOD",13,"first build","first build economy"
"build","build",-1,"VERB",45,"XCOMP",13,"build economy","build economy work"
"economy","economy",-1,"NOUN",47,"DOBJ",13,"economy work","economy work everyone"
"work","works",-1,"VERB",49,"RCMOD",13,"work everyone","work everyone just"
"everyone","everyone",-1,"NOUN",52,"POBJ",13,"everyone just","everyone just top"
"just","just",-1,"ADV",57,"ADVMOD",13,"just top","just top mean"
"top","top",-1,"NOUN",58,"POBJ",13,"top mean","top mean need"
"mean","means",-1,"VERB",63,"ROOT",13,"mean need","mean need new"
"need","need",-1,"VERB",63,"CCOMP",13,"need new","need new job"
"new","new",-1,"ADJ",67,"AMOD",13,"new job","new job good"
"job","jobs",-1,"NOUN",65,"DOBJ",13,"job good","job good job"
"good","good",-1,"ADJ",70,"AMOD",13,"good job","good job rise"
"job","jobs",-1,"NOUN",67,"APPOS",13,"job rise","job rise income"
"rise","rising",-1,"VERB",74,"AMOD",13,"rise income",NA
"income","incomes",-1,"NOUN",72,"POBJ",13,NA,NA
"i","I",-1,"PRON",1,"NSUBJ",14,"i want","i want us"
"want","want",-1,"VERB",1,"ROOT",14,"want us","want us invest"
"us","us",-1,"PRON",4,"NSUBJ",14,"us invest","us invest i"
"invest","invest",-1,"VERB",1,"XCOMP",14,"invest i","invest i want"
"i","I",-1,"PRON",9,"NSUBJ",14,"i want","i want us"
"want","want",-1,"VERB",9,"ROOT",14,"want us","want us invest"
"us","us",-1,"PRON",12,"NSUBJ",14,"us invest","us invest future"
"invest","invest",-1,"VERB",9,"XCOMP",14,"invest future","invest future mean"
"future","future",-1,"NOUN",13,"POBJ",14,"future mean","future mean job"
"mean","means",-1,"VERB",18,"ROOT",14,"mean job","mean job infrastructure"
"job","jobs",-1,"NOUN",18,"DOBJ",14,"job infrastructure","job infrastructure advanced"
"infrastructure","infrastructure",-1,"NOUN",20,"POBJ",14,"infrastructure advanced","infrastructure advanced manufacturing"
"advanced","advanced",-1,"ADJ",25,"AMOD",14,"advanced manufacturing","advanced manufacturing innovation"
"manufacturing","manufacturing",-1,"NOUN",23,"POBJ",14,"manufacturing innovation","manufacturing innovation technology"
"innovation","innovation",-1,"NOUN",25,"CONJ",14,"innovation technology","innovation technology clean"
"technology","technology",-1,"NOUN",27,"CONJ",14,"technology clean","technology clean renewable"
"clean","clean",-1,"ADJ",25,"CONJ",14,"clean renewable","clean renewable energy"
"renewable","renewable",-1,"ADJ",34,"AMOD",14,"renewable energy","renewable energy small"
"energy","energy",-1,"NOUN",25,"CONJ",14,"energy small","energy small business"
"small","small",-1,"ADJ",38,"AMOD",14,"small business","small business new"
"business","business",-1,"NOUN",25,"CONJ",14,"business new","business new job"
"new","new",-1,"ADJ",45,"AMOD",14,"new job","new job will"
"job","jobs",-1,"NOUN",42,"POBJ",14,"job will","job will come"
"will","will",-1,"VERB",47,"AUX",14,"will come","will come small"
"come","come",-1,"VERB",18,"ADVCL",14,"come small","come small business"
"small","small",-1,"ADJ",50,"AMOD",14,"small business","small business we"
"business","business",-1,"NOUN",48,"POBJ",14,"business we","business we also"
"we","We",-1,"PRON",54,"NSUBJ",14,"we also","we also make"
"also","also",-1,"ADV",54,"ADVMOD",14,"also make","also make economy"
"make","make",-1,"VERB",54,"XCOMP",14,"make economy","make economy fair"
"economy","economy",-1,"NOUN",59,"NSUBJ",14,"economy fair","economy fair start"
"fair","fairer",-1,"ADJ",56,"ACOMP",14,"fair start","fair start raise"
"start","starts",-1,"VERB",62,"ROOT",14,"start raise","start raise national"
"raise","raising",-1,"VERB",63,"PCOMP",14,"raise national","raise national minimum"
"national","national",-1,"ADJ",68,"AMOD",14,"national minimum","national minimum wage"
"minimum","minimum",-1,"ADJ",68,"AMOD",14,"minimum wage","minimum wage also"
"wage","wage",-1,"NOUN",64,"DOBJ",14,"wage also","wage also guarantee"
"also","also",-1,"ADV",62,"ADVMOD",14,"also guarantee","also guarantee finally"
"guarantee","guarantee",-1,"VERB",62,"CONJ",14,"guarantee finally","guarantee finally equal"
"finally","finally",-1,"ADV",71,"ADVMOD",14,"finally equal","finally equal pay"
"equal","equal",-1,"ADJ",76,"AMOD",14,"equal pay","equal pay woman"
"pay","pay",-1,"NOUN",71,"DOBJ",14,"pay woman","pay woman work"
"woman","women",-1,"NOUN",80,"POSS",14,"woman work",NA
"work","work",-1,"NOUN",77,"POBJ",14,NA,NA
"i","I",-1,"PRON",2,"NSUBJ",15,"i also","i also want"
"also","also",-1,"ADV",2,"ADVMOD",15,"also want","also want see"
"want","want",-1,"VERB",2,"ROOT",15,"want see","want see company"
"see","see",-1,"VERB",2,"XCOMP",15,"see company","see company profit"
"company","companies",-1,"NOUN",7,"NSUBJ",15,"company profit","company profit sharing"
"profit","profit",-1,"NOUN",10,"NN",15,"profit sharing","profit sharing help"
"sharing","sharing",-1,"NOUN",7,"DOBJ",15,"sharing help","sharing help create"
"help","help",-1,"VERB",21,"ADVCL",15,"help create","help create profit"
"create","create",-1,"VERB",14,"CCOMP",15,"create profit","create profit able"
"profit","profits",-1,"NOUN",15,"DOBJ",15,"profit able","profit able share"
"able","able",-1,"ADJ",21,"ACOMP",15,"able share","able share just"
"share","share",-1,"VERB",22,"XCOMP",15,"share just","share just executive"
"just","just",-1,"ADV",31,"ADVMOD",15,"just executive","just executive top"
"executive","executives",-1,"NOUN",24,"DOBJ",15,"executive top",NA
"top","top",-1,"NOUN",32,"POBJ",15,NA,NA
"i","I",-1,"PRON",2,"NSUBJ",16,"i want","i want us"
"want","want",-1,"VERB",2,"ROOT",16,"want us","want us support"
"us","us",-1,"PRON",5,"NSUBJ",16,"us support","us support person"
"support","support",-1,"VERB",5,"XCOMP",16,"support person","support person struggle"
"person","people",-1,"NOUN",8,"DOBJ",16,"person struggle","person struggle balance"
"struggle","struggling",-1,"VERB",9,"RCMOD",16,"struggle balance","struggle balance family"
"balance","balance",-1,"VERB",12,"XCOMP",16,"balance family","balance family work"
"family","family",-1,"NOUN",14,"DOBJ",16,"family work","family work i"
"work","work",-1,"NOUN",15,"CONJ",16,"work i","work i hear"
"i","I",-1,"PRON",21,"NSUBJ",16,"i hear","i hear many"
"hear","heard",-1,"VERB",21,"ROOT",16,"hear many","hear many difficult"
"many","many",-1,"ADJ",22,"POBJ",16,"many difficult","many difficult choice"
"difficult","difficult",-1,"ADJ",30,"AMOD",16,"difficult choice","difficult choice face"
"choice","choices",-1,"NOUN",27,"POBJ",16,"choice face","choice face stress"
"face","face",-1,"VERB",30,"RCMOD",16,"face stress","face stress so"
"stress","stresses",-1,"NOUN",30,"CONJ",16,"stress so","stress so let"
"so","So",-1,"ADV",42,"ADVMOD",16,"so let","so let pay"
"let","let",-1,"VERB",42,"ROOT",16,"let pay","let pay family"
"pay","paid",-1,"VERB",42,"CCOMP",16,"pay family","pay family leave"
"family","family",-1,"NOUN",47,"NN",16,"family leave","family leave earn"
"leave","leave",-1,"NOUN",45,"DOBJ",16,"leave earn","leave earn sick"
"earn","earned",-1,"VERB",51,"AMOD",16,"earn sick","earn sick day"
"sick","sick",-1,"ADJ",51,"AMOD",16,"sick day","sick day let"
"day","days",-1,"NOUN",47,"APPOS",16,"day let","day let sure"
"let","Let",-1,"VERB",53,"ROOT",16,"let sure","let sure affordable"
"sure","sure",-1,"ADJ",55,"ACOMP",16,"sure affordable","sure affordable child"
"affordable","affordable",-1,"ADJ",61,"AMOD",16,"affordable child","affordable child care"
"child","child",-1,"NOUN",61,"NN",16,"child care","child care debt"
"care","care",-1,"NOUN",58,"DOBJ",16,"care debt","care debt free"
"debt","debt",-1,"NOUN",65,"NPADVMOD",16,"debt free","debt free college"
"free","free",-1,"ADJ",66,"AMOD",16,"free college",NA
"college","college",-1,"NOUN",61,"CONJ",16,NA,NA
"how","How",-1,"ADV",3,"ADVMOD",17,"how go","how go we"
"go","going",-1,"VERB",3,"ROOT",17,"go we","go we go"
"we","We",-1,"PRON",10,"NSUBJ",17,"we go","we go wealthy"
"go","going",-1,"VERB",10,"ROOT",17,"go wealthy","go wealthy pay"
"wealthy","wealthy",-1,"ADJ",18,"NSUBJ",17,"wealthy pay","wealthy pay fair"
"pay","pay",-1,"NOUN",15,"CCOMP",17,"pay fair","pay fair share"
"fair","fair",-1,"ADJ",21,"AMOD",17,"fair share","fair share close"
"share","share",-1,"NOUN",18,"DOBJ",17,"share close","share close corporate"
"close","close",-1,"VERB",18,"CONJ",17,"close corporate","close corporate loophole"
"corporate","corporate",-1,"ADJ",26,"AMOD",17,"corporate loophole",NA
"loophole","loopholes",-1,"NOUN",18,"DOBJ",17,NA,NA
"finally","Finally",-1,"ADV",4,"ADVMOD",18,"finally tonight","finally tonight stage"
"tonight","tonight",-1,"NOUN",2,"DEP",18,"tonight stage","tonight stage together"
